Timestamp;DI-001;DI-002;DI-003;DI-004;DI-005;DI-006;DI-007;DI-008;DI-009;DI-010;DI-011;DI-012;Hum.;Pres.;Temp.
2025-11-04 09:00:00;12631.833333333334;24681.071428571428;12751.8125;24675.35714285714;11882.3;24647.909090909092;11247.111111111111;24668.533333333333;2817;24620;12412.076923076924;24645.88888888889;47.25;1003.6241666666668;27.441666666666663
2025-11-04 11:00:00;12632.2;24681.1;12753.363636363636;24675.875;11885.125;24647.625;11247.727272727272;24668;2817;24620;12414.727272727272;24646.666666666668;43.375;1002.8408333333335;31.489999999999995
2025-11-04 13:00:00;12633.2;24681.833333333332;12753.5;24676.384615384617;11884.57142857143;24647.23076923077;11249.5;24669.166666666668;2817;24620.333333333332;12415.272727272728;24646;37.48888888888889;1002.2677777777777;35.260000000000005
2025-11-04 15:00:00;12633.5;24682.1;12750.90909090909;24676.833333333332;11881.333333333334;24648;11249;24670.18181818182;2817;24620.5;12411.90909090909;24647;37.763636363636365;1003.1827272727274;33.26727272727272
2025-11-04 17:00:00;12634.545454545454;24681.2;12749.692307692309;24675.5;11877.666666666666;24648;11247.727272727272;24670.125;2817;24621.571428571428;12409;24646.166666666668;44.077777777777776;1003.387777777778;29.77
2025-11-04 19:00:00;12633.75;24681.11111111111;12750;24676;11878.1;24646.909090909092;11248;24669.5;2817;24621;12409;24646;44.31;1003.4519999999999;29.290999999999997
2025-11-04 21:00:00;12633.133333333333;24682.5625;12748.733333333334;24676.222222222223;11878.555555555555;24647;11247;24670;2817;24620.846153846152;12408.846153846154;24646;48.36666666666667;1005.525;26.925
2025-11-04 23:00:00;12632.923076923076;24682;12749.153846153846;24676.2;11878;24647.4;11246.636363636364;24669.545454545456;2817;24620;12407.90909090909;24645.5;51.684615384615384;1007.2084615384616;25.994615384615386
2025-11-05 01:00:00;12634;24681.3;12748.57142857143;24675.571428571428;11878;24648;11246;24668.333333333332;2817;24620;12407.714285714286;24645;52.7625;1008.1575;24.558750000000003
2025-11-05 03:00:00;12633.538461538461;24681;12748;24675;11878;24647.615384615383;11246;24669.166666666668;2817;24621;12408;24645.090909090908;54.2;1008.5384615384615;22.89923076923077
2025-11-05 05:00:00;12633;24681;12749.153846153846;24675;11878.111111111111;24646.5;11246;24669.375;2817;24621;12407.5;24645.454545454544;55.800000000000004;1008.9741666666667;21.598333333333333
2025-11-05 07:00:00;12632.23076923077;24681.6;12749.333333333334;24675;11879.5;24647;11246.545454545454;24669;2817;24620.454545454544;12407.25;24645;56.37500000000001;1011.2843750000001;21.22625
2025-11-05 09:00:00;12632.111111111111;24681.46153846154;12750.9375;24675;11880.916666666666;24647;11247;24669.153846153848;2817;24620;12408.875;24645;53.8;1012.7771428571428;22.398571428571433
