Timestamp;DI-001;DI-002;DI-003;DI-004;DI-005;DI-006;DI-007;DI-008;DI-009;DI-010;DI-011;DI-012;Hum.;Pres.;Temp.
2025-10-01 13:00:00;12631.636363636364;24680.7;12755.375;24674;11884;24646.625;11247.125;24667.4;2827;24619.666666666668;12415.333333333334;24645.6;40.642857142857146;1017.4414285714286;30.927142857142858
2025-10-01 15:00:00;12631.933333333332;24681.214285714286;12754.285714285714;24675.846153846152;11883.222222222223;24646.571428571428;11247.6;24667.714285714286;2827;24619.8;12414;24646;36.09333333333333;1015.9133333333334;34.21666666666667
2025-10-01 17:00:00;12632.285714285714;24681.8;12753.857142857143;24676;11881.9;24647;11247.272727272728;24668.18181818182;2827;24621;12411.75;24646;34.68181818181818;1015.6863636363637;33.17454545454546
2025-10-01 19:00:00;12631.583333333334;24681.272727272728;12751.583333333334;24676.2;11880.1;24647;11246.727272727272;24669;2827;24620;12410;24646.4;38.623076923076916;1015.9915384615384;29.770000000000003
2025-10-01 21:00:00;12632.083333333334;24681;12750;24675.6;11879.125;24647;11247;24668.18181818182;2827;24620.615384615383;12408.92857142857;24645.46153846154;43.15454545454545;1016.5454545454547;26.720909090909085
2025-10-01 23:00:00;12632.933333333332;24681.333333333332;12750.5;24675;11878.25;24646.30769230769;11246.42857142857;24668.11111111111;2827;24620.7;12408.2;24645;45.989999999999995;1016.7959999999999;25.107000000000006
2025-10-02 01:00:00;12632.76923076923;24681.875;12750.25;24675;11879;24646.3;11246.57142857143;24668.25;2827;24621;12407.777777777777;24645.222222222223;48.824999999999996;1015.7141666666668;23.31083333333333
2025-10-02 03:00:00;12632;24681.8;12751.25;24675;11879.5;24646;11246.666666666666;24668;2827;24620.777777777777;12407.5;24645.25;51.021428571428565;1014.9857142857143;22.015714285714285
2025-10-02 05:00:00;12632;24681;12751;24675.090909090908;11878.9;24646;11247;24668.833333333332;2827;24619.64285714286;12407.5;24644.909090909092;52.633333333333326;1015.0333333333333;20.785
2025-10-02 07:00:00;12633;24681.266666666666;12750.363636363636;24675;11878.545454545454;24646.916666666668;11247;24668.6;2827;24619.25;12408.181818181818;24645.363636363636;53.53076923076924;1016.136923076923;20.63153846153846
2025-10-02 09:00:00;12631.818181818182;24681.066666666666;12752.692307692309;24675;11881.25;24647;11247.727272727272;24668.166666666668;2827;24620.071428571428;12410.153846153846;24645.285714285714;53.150000000000006;1016.4174999999999;22.254166666666663
2025-10-02 11:00:00;12631.666666666666;24680.923076923078;12754.09090909091;24674.3;11884.4;24646.333333333332;11246.888888888889;24667;2827;24620.14285714286;12413.555555555555;24645;49.02666666666667;1015.4006666666667;26.567999999999998
2025-10-02 13:00:00;12631.454545454546;24680.583333333332;12755;24674.833333333332;11884.5;24646;11247.727272727272;24667.75;2827;24619.166666666668;12415.5;24645.083333333332;41.92307692307692;1013.5392307692308;31.896153846153844
2025-10-02 15:00:00;12633.083333333334;24681;12754.307692307691;24675.9;11883.416666666666;24647.18181818182;11247.5;24668.75;2827;24619.833333333332;12414;24646;36.99999999999999;1011.6741666666667;34.8225
2025-10-02 17:00:00;12632.57142857143;24681;12752.142857142857;24676;11882.5;24647;11248.181818181818;24669;2827;24620.333333333332;12411.555555555555;24646;36.59090909090909;1010.6181818181817;33.89545454545455
2025-10-02 19:00:00;12632;24681.6;12751.5;24676;11879;24647;11247;24669.333333333332;2827;24620.75;12410;24645.833333333332;40.06666666666667;1011.2866666666667;31.76666666666667
2025-10-02 21:00:00;12632.8;24681;12751;24676;11879;24647;11247;24669.25;2827;24620;12408.666666666666;24645;43.12;1011.574;30.1
2025-10-02 23:00:00;12633;24680.666666666668;12749.666666666666;24676;11877.857142857143;24647;11247;24668;2827;24620;12408;24645;47.06666666666667;1011.0333333333333;27.798333333333336
2025-10-03 01:00:00;12633.5;24681;12749.4;24675.5;11878;24646;11246.8;24668.375;2827;24620.14285714286;12408;24645;50.80000000000001;1010.1542857142857;25.937142857142856
2025-10-03 03:00:00;12633.5;24681;12750.125;24675;11878.375;24646.11111111111;11246.75;24668.11111111111;2827;24620.5;12408;24645;52.23636363636364;1009.1981818181819;25.096363636363638
2025-10-03 05:00:00;12633;24681.41176470588;12750.153846153846;24675;11879.333333333334;24645.8;11246.083333333334;24669;2827;24620.4;12408.09090909091;24645.071428571428;54.04545454545455;1008.7090909090911;24.278181818181817
2025-10-03 07:00:00;12633.285714285714;24681.333333333332;12750.5;24675;11880;24646;11246.375;24668.625;2827;24620.5;12409;24645.545454545456;54.93333333333333;1009.0450000000001;24.69333333333333
2025-10-03 09:00:00;12633.75;24681;12752.375;24674.545454545456;11882.1;24646.5;11246.846153846154;24668.166666666668;2827;24620;12411.8;24645.8;54.69230769230769;1009.6799999999998;26.48692307692308
2025-10-03 11:00:00;12632.125;24680.6;12753.625;24674.7;11884.2;24647.555555555555;11247.888888888889;24668;2827;24620;12414.727272727272;24645.285714285714;50.872727272727275;1008.9881818181819;30.12545454545455
2025-10-03 13:00:00;12633.111111111111;24680.222222222223;12753.777777777777;24675.909090909092;11884.444444444445;24646.444444444445;11248;24668.333333333332;2827;24619.666666666668;12415.454545454546;24645.5;45;1007.6136363636364;33.344545454545454
2025-10-03 15:00:00;12633.214285714286;24681.3;12753.636363636364;24676.25;11883.111111111111;24647.083333333332;11248.42857142857;24668.666666666668;2827;24620.777777777777;12413.888888888889;24645.75;37.550000000000004;1005.0100000000001;35.20249999999999
2025-10-03 17:00:00;12632.222222222223;24682;12752.666666666666;24675.8;11880.7;24647.88888888889;11248.083333333334;24669.272727272728;2827;24620.4;12411.57142857143;24646;33.627272727272725;1004.0799999999999;37.2890909090909
2025-10-03 19:00:00;12633.111111111111;24681.714285714286;12751.6;24675.333333333332;11879.5;24648.333333333332;11248.2;24669.666666666668;2827;24620.375;12409.4;24646.2;37.925;1004.5699999999999;33.362500000000004
